//ID	Luck	Skill	X	Y	AdOpt.	Level	ON/OFF	Item Name		Cost	BuyWithZen	BuyWithCredits	BuyWithGoldCredits 	Dur	Refi	SkCount	Harmony	EquipLvl	DW/SM   DK/BK   FE/ME  MG/DM   DL/LE   S/BS	RF	GL
0
//Season 1+
34	1	260	1	2	1	15	1	"Piercing Glove"	105	0		1		1			86	0	0	1	0		0	0	0	0	0	0	1	0
35	1	270	1	2	1	15	1	"Phoenix Soul Star"	147	0		1		1			98	0	0	1	0		0	0	0	0	0	0	1	0
//Season 8+
29	1	22	1	4	1	15	1	"Sonic Blade"		149	0		1		1			80	0	5	0	400		0	3	0	0	0	0	0	0
30	1	56	1	4	1	15	1	"Asura"			149	0		1		1			90	0	5	0	400		0	0	0	3	0	0	0	0
36	1	22	1	4	1	15	1	"Cyclone Sword"		149	0		1		1			90	0	5	0	400		0	3	0	0	0	0	0	0
37	1	23	2	4	1	15	1	"Blast Break"		149	0		1		1			130	0	5	0	400		0	3	0	3	0	0	0	0
41	0	0	2	2	0	0	1	"Pandora Pick"		143	0		1		1			255	0	0	0	0		1	1	1	1	1	1	1	1
EndOfCat



//ID	Luck	Skill	X	Y	AdOpt.	Level	ON/OFF	Item Name		Cost	BuyWithZen	BuyWithCredits	BuyWithGoldCredits 	Dur	Refi	SkCount	Harmony	EquipLvl	DW/SM   DK/BK   FE/ME  MG/DM   DL/LE   S/BS	RF	GL
1
//Season 1+
0	1	0	1	3	1	15	1	"Small Axe"		2	0		1		1			18	0	0	1	0		1	1	1	1	1	1	1	1
1	1	0	1	3	1	15	1	"Hand Axe"		4	0		1		1			20	0	0	1	0		1	1	1	1	1	1	1	1
2	1	19	1	3	1	15	1	"Double Axe"		14	0		1		1			26	0	0	1	0		0	1	0	1	1	0	0	0
3	1	19	1	3	1	15	1	"Tomahawk"		18	0		1		1			28	0	0	1	0		0	1	0	1	1	0	1	0
4	1	0	1	3	1	15	1	"Elven Axe"		26	0		1		1			32	0	0	1	0		1	0	1	1	0	1	0	0
5	1	19	2	3	1	15	1	"Battle Axe"		30	0		1		1			36	0	0	1	0		0	1	1	1	0	0	0	0
6	1	19	2	3	1	15	1	"Nikea Axe"		34	0		1		1			44	0	0	1	0		0	1	1	1	0	0	0	0
7	1	19	2	3	1	15	1	"Larkan Axe"		46	0		1		1			55	0	0	1	0		0	1	0	1	0	0	0	0
8	1	19	2	3	1	15	1	"Crescent Axe"		54	0		1		1			65	0	0	1	0		1	1	0	1	0	0	0	0
EndOfCat



//ID	Luck	Skill	X	Y	AdOpt.	Level	ON/OFF	Item Name		Cost	BuyWithZen	BuyWithCredits	BuyWithGoldCredits 	Dur	Refi	SkCount	Harmony	EquipLvl	DW/SM   DK/BK   FE/ME  MG/DM   DL/LE   S/BS	RF	GL
2
//Season 1+
0	1	0	1	3	1	15	1	"Mace"			7	0		1		1			21	0	0	1	0		0	1	0	1	1	0	1	0
1	1	19	1	3	1	15	1	"Morning Star"		13	0		1		1			25	0	0	1	0		0	1	0	1	1	0	1	0
2	1	0	1	3	1	15	1	"Flail"			22	0		1		1			32	0	0	1	0		0	1	0	1	1	0	1	0
3	1	19	2	3	1	15	1	"Great Hammer"		38	0		1		1			50	0	0	1	0		0	1	0	1	0	0	1	0
4	1	19	2	3	1	15	1	"Crystal Morning Star"	66	0		1		1			72	0	0	1	0		1	1	1	1	0	0	1	0
5	1	23	2	4	1	15	1	"Crystal Sword"		72	0		1		1			76	0	0	1	0		1	1	1	1	0	0	0	0
6	1	23	2	4	1	15	1	"Chaos Dragon Axe"	75	0		1		1			80	0	0	1	0		0	1	0	1	0	0	0	0
7	1	0	1	3	1	15	1	"Elemental Mace"	90	0		1		1			50	0	0	1	0		0	0	2	0	0	0	0	0
8	1	66	1	3	1	15	1	"Battle Scepter"	54	0		1		1			40	0	0	1	0		0	0	0	0	1	0	0	0
9	1	66	1	3	1	15	1	"Master Scepter"	72	0		1		1			45	0	0	1	0		0	0	0	0	1	0	0	0
10	1	66	1	4	1	15	1	"Great Scepter"		82	0		1		1			65	0	0	1	0		0	0	0	0	1	0	0	0
11	1	66	1	4	1	15	1	"Lord Scepter"		98	0		1		1			72	0	0	1	0		0	0	0	0	1	0	0	0
12	1	66	1	4	1	15	1	"Great Lord Scepter"	140	0		1		1			84	0	0	1	0		0	0	0	0	1	0	0	0
13	1	66	1	4	1	15	1	"Divine Scepter of AA"	150	0		1		1			90	0	0	1	0		0	0	0	0	1	0	0	0
//Season 2+
14	1	66	1	4	1	15	1	"Soleil Sceptor"	146	0		1		1			95	1	0	1	380		0	0	0	0	1	0	0	0
15	1	66	1	4	1	15	1	"Shining Scepter"	110	0		1		1			78	0	0	1	0		0	0	0	0	1	0	0	0
//Season 4+
16	1	0	1	3	1	15	1	"Frost Mace"		121	0		1		1			80	0	5	0	400		0	0	2	0	0	0	0	0
17	1	66	1	4	1	15	1	"Absolute Scepter"	135	0		1		1			90	0	5	0	400		0	0	0	0	1	0	0	0
18	1	66	1	4	1	15	1	"Striker Scepter"	147	0		1		1			86	0	0	1	0		0	0	0	0	1	0	0	0
//Season 8+
19	1	66	1	4	1	15	1	"Thunderbolt"		149	0		1		1			78	0	5	0	400		0	0	0	0	3	0	0	0
20	1	19	2	4	1	15	1	"Horn of Steel"		149	0		1		1			120	0	5	0	400		0	3	0	0	0	0	0	0
EndOfCat



//ID	Luck	Skill	X	Y	AdOpt.	Level	ON/OFF	Item Name		Cost	BuyWithZen	BuyWithCredits	BuyWithGoldCredits 	Dur	Refi	SkCount	Harmony	EquipLvl	DW/SM   DK/BK   FE/ME  MG/DM   DL/LE   S/BS	RF	GL
3
//Season 1+
0	1	22	2	4	1	15	1	"Light Spear"		42	0		1		1			56	0	0	1	0		0	1	1	1	0	0	0	0
1	1	0	2	4	1	15	1	"Spear"			23	0		1		1			42	0	0	1	0		0	1	1	1	0	0	0	0
2	1	0	2	4	1	15	1	"Dragon Lance"		15	0		1		1			34	0	0	1	0		0	1	1	1	0	0	0	0
3	1	0	2	4	1	15	1	"Giant Trident"		29	0		1		1			44	0	0	1	0		0	1	1	1	0	0	0	0
4	1	20	2	4	1	15	1	"Serpent Spear"		46	0		1		1			20	0	0	1	0		0	1	1	1	0	0	0	0
5	1	0	2	4	1	15	1	"Double Poleaxe"	13	0		1		1			30	0	0	1	0		0	1	1	1	0	0	0	0
6	1	0	2	4	1	15	1	"Halberd"		19	0		1		1			30	0	0	1	0		0	1	1	1	0	0	0	0
7	1	22	2	4	1	15	1	"Berdysh"		37	0		1		1			30	0	0	1	0		0	1	1	1	0	0	0	0
8	1	22	2	4	1	15	1	"Great Scythe"		54	0		1		1			25	0	0	1	0		0	1	1	1	0	0	0	0
9	1	22	2	4	1	15	1	"Bill of Balrog"	63	0		1		1			25	0	0	1	0		0	1	1	1	0	0	0	0
10	1	22	2	4	1	15	1	"Dragon Spear"		92	0		1		1			35	0	0	1	0		0	2	0	0	0	0	0	0
//Season 4+
11	1	22	2	4	1	15	1	"Brova"			146	0		1		1			40	0	0	1	0		0	2	0	1	0	0	0	0
//Season 8+
12	1	20	2	4	1	15	1	"Magma Spear"		148	0		1		1			35	0	5	0	400		0	3	0	0	0	0	0	0
//Season 10+
13	1	20	1	4	1	15	1	"Lapid Lance"		148	0		1		1			34	0	0	1	0		0	0	0	0	0	0	0	1
14	1	20	1	4	1	15	1	"Conmocion Lance"	149	0		1		1			58	0	0	1	0		0	0	0	0	0	0	0	1
15	1	20	1	4	1	15	1	"Pluma Lance"		152	0		1		1			74	0	0	1	0		0	0	0	0	0	0	0	1
16	1	20	1	4	1	15	1	"Vis Lance"		142	0		1		1			75	0	0	1	0		0	0	0	0	0	0	0	1
17	1	20	1	4	1	15	1	"Prickle Lance"		154	0		1		1			31	0	0	1	0		0	0	0	0	0	0	0	1
18	1	20	1	4	1	15	1	"Alacran Lance"		150	0		1		1			61	0	0	1	0		0	0	0	0	0	0	0	1
EndOfCat



//ID	Luck	Skill	X	Y	AdOpt.	Level	ON/OFF	Item Name		Cost	BuyWithZen	BuyWithCredits	BuyWithGoldCredits 	Dur	Refi	SkCount	Harmony	EquipLvl	DW/SM   DK/BK   FE/ME  MG/DM   DL/LE   S/BS	RF	GL
4
//Season 1+
0	1	24	2	3	1	15	1	"Short Bow"		2	0		1		1			20	0	0	1	0		0	0	1	0	0	0	0	0
1	1	24	2	3	1	15	1	"Bow"			8	0		1		1			24	0	0	1	0		0	0	1	0	0	0	0	0
2	1	24	2	3	1	15	1	"Elven Bow"		16	0		1		1			28	0	0	1	0		0	0	1	0	0	0	0	0
3	1	24	2	3	1	15	1	"Battle Bow"		26	0		1		1			36	0	0	1	0		0	0	1	0	0	0	0	0
4	1	24	2	4	1	15	1	"Tiger Bow"		40	0		1		1			43	0	0	1	0		0	0	1	0	0	0	0	0
5	1	24	2	4	1	15	1	"Silver Bow"		56	0		1		1			48	0	0	1	0		0	0	1	0	0	0	0	0
6	1	24	2	4	1	15	1	"Chaos Nature Bow"	75	0		1		1			68	0	0	1	0		0	0	1	0	0	0	0	0
7	1	0	1	1	1	0	0	"Bolt"			10	0		1		1			255	0	0	1	0		0	0	1	0	0	0	0	0
8	1	24	2	2	1	15	1	"Crossbow"		14	0		1		1			22	0	0	1	0		0	0	1	0	0	0	0	0
9	1	24	2	2	1	15	1	"Golden Crossbow"	12	0		1		1			26	0	0	1	0		0	0	1	0	0	0	0	0
10	1	24	2	2	1	15	1	"Arquebus"		20	0		1		1			31	0	0	1	0		0	0	1	0	0	0	0	0
11	1	24	2	3	1	15	1	"Light Crossbow"	32	0		1		1			40	0	0	1	0		0	0	1	0	0	0	0	0
12	1	24	2	3	1	15	1	"Serpent Crossbow"	48	0		1		1			45	0	0	1	0		0	0	1	0	0	0	0	0
13	1	24	2	3	1	15	1	"Bluewing Crossbow"	68	0		1		1			56	0	0	1	0		0	0	1	0	0	0	0	0
14	1	24	2	3	1	15	1	"Aquagold Crossbow"	72	0		1		1			60	0	0	1	0		0	0	1	0	0	0	0	0
15	1	0	1	1	1	0	0	"Arrow"			10	0		1		1			255	0	0	1	0		0	0	1	0	0	0	0	0
16	1	24	2	4	1	15	1	"Saint Crossbow"	84	0		1		1			72	0	0	1	0		0	0	1	0	0	0	0	0
17	1	24	2	4	1	15	1	"Celestial Bow"		92	0		1		1			76	0	0	1	0		0	0	2	0	0	0	0	0
18	1	24	2	3	1	15	1	"Divine Crossbow of AA"	100	0		1		1			200	0	0	1	0		0	0	1	0	0	0	0	0
19	1	24	2	3	1	15	1	"Great Reign Crossbow"	100	0		1		1			80	0	0	1	0		0	0	2	0	0	0	0	0
20	1	24	2	4	1	15	1	"Arrow Viper Bow"	135	0		1		1			86	0	0	1	0		0	0	2	0	0	0	0	0
//Season 2+
21	1	24	2	4	1	15	1	"Sylph Wind Bow"	147	0		1		1			93	1	0	1	380		0	0	2	0	0	0	0	0
22	1	24	2	4	1	15	1	"Albatross Bow"		110	0		1		1			70	0	0	1	0		0	0	2	0	0	0	0	0
//Season 4+
23	1	24	2	4	1	15	1	"Dark Stinger"		134	0		1		1			80	0	5	0	400		0	0	2	0	0	0	0	0
24	1	24	2	4	1	15	1	"Aileen Bowr"		147	0		1		1			88	0	0	1	0		0	0	2	0	0	0	0	0
//Season 8+
25	1	24	2	4	1	15	1	"Angelic Bow"		149	0		1		1			70	0	5	0	400		0	0	3	0	0	0	0	0
26	1	24	2	3	1	15	1	"Devil Crossbow"	149	0		1		1			90	0	5	0	400		0	0	3	0	0	0	0	0
EndOfCat



//ID	Luck	Skill	X	Y	AdOpt.	Level	ON/OFF	Item Name		Cost	BuyWithZen	BuyWithCredits	BuyWithGoldCredits 	Dur	Refi	SkCount	Harmony	EquipLvl	DW/SM   DK/BK   FE/ME  MG/DM   DL/LE   S/BS	RF	GL
5
//Season 1+
0	1	0	1	3	1	15	1	"Skull Staff"		6	0		1		1			20	0	0	1	0		1	0	0	1	0	1	0
1	1	0	2	3	1	15	1	"Angelic Staff"		18	0		1		1			38	0	0	1	0		1	0	0	1	0	0	0
2	1	0	2	3	1	15	1	"Serpent Staff"		30	0		1		1			50	0	0	1	0		1	0	0	1	0	0	0
3	1	0	2	4	1	15	1	"Thunder Staff"		42	0		1		1			60	0	0	1	0		1	0	0	1	0	0	0
4	1	0	2	4	1	15	1	"Gorgon Staff"		52	0		1		1			65	0	0	1	0		1	0	0	1	0	0	0
5	1	0	1	4	1	15	1	"Legendary Staff"	59	0		1		1			66	0	0	1	0		1	0	0	1	0	0	0
6	1	0	1	4	1	15	1	"Staff of Resurrection"	70	0		1		1			70	0	0	1	0		1	0	0	1	0	0	0
7	1	0	2	4	1	15	1	"Chaos Lighting Staff"	75	0		1		1			70	0	0	1	0		1	0	0	1	0	0	0
8	1	0	2	4	1	15	1	"Staff of Destruction"	90	0		1		1			85	0	0	1	0		1	0	0	1	0	0	0
9	1	0	1	4	1	15	1	"Dragon Soul Staff"	100	0		1		1			91	0	0	1	0		2	0	0	0	0	0	0
10	1	0	1	4	1	15	1	"Staff of Archangel"	104	0		1		1			182	0	0	1	0		1	0	0	1	0	0	0
11	1	0	1	4	1	15	1	"Staff of Kundun"	140	0		1		1			95	0	0	1	0		2	0	0	1	0	0	0
//Season 2+
12	1	0	1	4	1	15	1	"Grand Viper Staff"	147	0		1		1			100	1	0	1	380		2	0	0	0	0	0	0
13	1	0	1	4	1	15	1	"Platina Staff"		110	0		1		1			78	0	0	1	0		2	0	0	0	0	0	0
//Season 4+
14	1	0	1	4	1	15	1	"Mystery Stick"		28	0		1		1			50	0	0	1	0		0	0	0	0	0	1	0
15	1	0	1	4	1	15	1	"Violent Wind Stick"	42	0		1		1			60	0	0	1	0		0	0	0	0	0	1	0
16	1	0	1	4	1	15	1	"Red Wing Stick"	59	0		1		1			65	0	0	1	0		0	0	0	0	0	1	0
17	1	0	1	4	1	15	1	"Ancient Stick"		78	0		1		1			81	0	0	1	0		0	0	0	0	0	1	0
18	1	0	1	4	1	15	1	"Demonic Stick"		100	0		1		1			91	0	0	1	0		0	0	0	0	0	2	0
19	1	0	1	4	1	15	1	"Storm Blitz Stick"	110	0		1		1			95	1	0	1	380		0	0	0	0	0	2	0
20	1	0	1	4	1	15	1	"Eternal Wing Stick"	147	0		1		1			100	0	5	0	400		0	0	0	0	0	2	0
21	1	223	1	2	1	15	1	"Book of Samut"		52	0		1		1			60	0	0	1	0		0	0	0	0	0	1	0
22	1	224	1	2	1	15	1	"Book of Neil"		59	0		1		1			65	0	0	1	0		0	0	0	0	0	1	0
23	1	225	1	2	1	15	1	"Book of Lagle"		65	0		1		1			50	0	0	1	0		0	0	0	0	0	1	0
30	1	0	1	4	1	15	1	"Deadly Staff"		138	0		1		1			91	0	5	0	400		0	0	0	1	0	0	0
31	1	0	1	4	1	15	1	"Inberial Staff"	137	0		1		1			182	0	5	0	400		2	0	0	0	0	0	0
32	1	0	1	4	1	15	1	"Summon Spirit Stick"	149	0		1		1			130	0	5	0	400		0	0	0	0	0	3	0
33	1	0	1	4	1	15	1	"Chromatic Staff"	147	0		1		1			78	0	0	1	0		2	0	0	1	0	0	0
35	1	0	1	4	1	15	1	"Miracle Staff"		149	0		1		1			80	0	5	0	400		3	0	0	3	0	0	0
34	1	0	1	4	1	15	1	"Raven Stick"		147	0		1		1			98	0	0	1	0		0	0	0	0	0	2	0
//Season 6+
36	1	0	1	4	1	15	1	"Divine Stick of AA"	104	0		1		1			182	0	0	1	0		0	0	0	0	0	1	0	
//Season 8+
37	1	0	2	4	1	15	1	"Spite Staff"		149	0		1		1			110	0	5	0	400		3	0	0	3	0	0	0
EndOfCat



//ID	Luck	Skill	X	Y	AdOpt.	Level	ON/OFF	Item Name		Cost	BuyWithZen	BuyWithCredits	BuyWithGoldCredits 	Dur	Refi	SkCount	Harmony	EquipLvl	DW/SM   DK/BK   FE/ME  MG/DM   DL/LE   S/BS	RF	GL
6
//Season 1+
0	1	0	2	2	1	15	1	"Small Shield"		3	0		1		1			22	0	0	1	0		1	1	1	1	1	0	0	1
1	1	0	2	2	1	15	1	"Horn Shield"		9	0		1		1			28	0	0	1	0		0	1	0	1	1	0	0	1
2	1	0	2	2	1	15	1	"Kite Shield"		12	0		1		1			32	0	0	1	0		0	1	0	1	1	0	0	1
3	1	0	2	2	1	15	1	"Elven Shield"		21	0		1		1			36	0	0	1	0		0	0	1	0	0	0	0	0
4	1	18	2	2	1	15	1	"Buckler"		6	0		1		1			24	0	0	1	0		1	1	1	1	1	0	0	1
5	1	18	2	2	1	15	1	"Dragon Slayer Shield"	35	0		1		1			44	0	0	1	0		0	1	0	1	1	0	0	1
6	1	18	2	2	1	15	1	"Skull Shield"		15	0		1		1			34	0	0	1	0		1	1	1	1	1	0	0	0
7	1	18	2	2	1	15	1	"Spiked Shield"		30	0		1		1			40	0	0	1	0		0	1	0	1	1	0	0	0
8	1	18	2	2	1	15	1	"Tower Shield"		40	0		1		1			46	0	0	1	0		0	1	1	1	1	0	0	0
9	1	18	2	2	1	15	1	"Plate Shield"		25	0		1		1			38	0	0	1	0		0	1	0	1	1	0	0	0
10	1	18	2	2	1	15	1	"Large Round Shield"	18	0		1		1			35	0	0	1	0		0	1	0	1	1	0	0	0
11	1	18	2	2	1	15	1	"Serpent Shield"	45	0		1		1			48	0	0	1	0		0	1	1	1	1	0	0	0
12	1	18	2	2	1	15	1	"Bronze Shield"		54	0		1		1			52	0	0	1	0		0	1	0	1	0	0	0	0
13	1	18	2	2	1	15	1	"Dragon Shield"		60	0		1		1			60	0	0	1	0		0	1	0	1	0	0	0	0
14	1	0	2	3	1	15	1	"Legendary Shield"	48	0		1		1			50	0	0	1	0		1	0	1	1	0	0	0	0
15	1	0	2	3	1	15	1	"Grand Soul Shield"	74	0		1		1			55	0	0	1	0		2	0	0	0	0	0	0	0
16	1	0	2	2	1	15	1	"Elemental Shield"	66	0		1		1			51	0	0	1	0		0	0	2	0	0	0	0	0
//Season 4+
17	1	18	2	2	1	15	1	"Crimson Glory"		104	0		1		1			51	0	5	0	400		0	2	0	0	0	0	0	0
18	1	18	2	2	1	15	1	"Salamander Shield"	102	0		1		1			51	0	5	0	400		0	0	0	1	0	0	0	0
19	1	0	2	2	1	15	1	"Frost Barrier"		99	0		1		1			51	0	5	0	400		0	0	2	0	0	0	0	0
20	1	18	2	2	1	15	1	"Guardian Shield"	106	0		1		1			51	0	5	0	400		2	0	0	0	0	0	0	0
21	1	18	2	2	1	15	1	"Cross Shield"		70	0		1		1			65	0	0	1	0		0	0	0	0	1	0	0	0
//Season 8+
22	1	18	2	2	1	15	1	"Lazy Wind Shield"	129	0		1		1			90	0	5	0	400		0	3	0	0	0	0	0	0
23	1	0	2	2	1	15	1	"Light Lord Shield"	124	0		1		1			90	0	5	0	400		0	0	3	0	0	0	0	0
24	1	0	2	2	1	15	1	"Dark Devil Shield"	122	0		1		1			90	0	5	0	400		3	0	0	0	0	0	0	0
25	1	18	2	2	1	15	1	"Magic Knight Shield"	128	0		1		1			90	0	5	0	400		0	0	0	3	0	0	0	0
26	1	18	2	2	1	15	1	"Ambition Shield"	131	0		1		1			90	0	5	0	400		0	0	0	0	3	0	0	0
//Season 10+
29	1	18	2	2	1	15	1	"Lapid Shield"		131	0		1		1			31	0	0	1	0		0	0	0	0	0	0	0	1
30	1	18	2	2	1	15	1	"Pluma Shield"		135	0		1		1			52	0	0	1	0		0	0	0	0	0	0	0	1
31	1	18	2	2	1	15	1	"Alacran Shield"	133	0		1		1			31	0	0	1	0		0	0	0	0	0	0	0	1
32	1	18	2	2	1	15	1	"Vis Shield"		136	0		1		1			52	0	0	1	0		0	0	0	0	0	0	0	1
EndOfCat



//ID	Luck	Skill	X	Y	AdOpt.	Level	ON/OFF	Item Name		Cost	BuyWithZen	BuyWithCredits	BuyWithGoldCredits 	Dur	Refi	SkCount	Harmony	EquipLvl	DW/SM   DK/BK   FE/ME  MG/DM   DL/LE   S/BS	RF	GL
7
//Season 1+
0	1	0	2	2	1	15	1	"Bronze Helm"		16	0		1		1			34	0	0	1	0		0	1	0	0	1	0	0	0
1	1	0	2	2	1	15	1	"Dragon Helm"		57	0		1		1			68	0	0	1	0		0	1	0	0	0	0	0	0
2	1	0	2	2	1	15	1	"Pad Helm"		5	0		1		1			28	0	0	1	0		1	0	0	0	0	0	0	0
3	1	0	2	2	1	15	1	"Legendary Helm"	50	0		1		1			42	0	0	1	0		1	0	0	0	0	0	0	0
4	1	0	2	2	1	15	1	"Bone Helm"		18	0		1		1			30	0	0	1	0		1	0	0	0	0	0	0	0
5	1	0	2	2	1	15	1	"Leather Helm"		6	0		1		1			30	0	0	1	0		0	1	0	0	1	0	1	0
6	1	0	2	2	1	15	1	"Scale Helm"		26	0		1		1			40	0	0	1	0		0	1	0	0	1	0	1	0
7	1	0	2	2	1	15	1	"Sphinx Mask"		32	0		1		1			36	0	0	1	0		1	0	0	0	0	0	0	0
8	1	0	2	2	1	15	1	"Brass Helm"		36	0		1		1			44	0	0	1	0		0	1	0	0	0	0	1	0
9	1	0	2	2	1	15	1	"Plate Helm"		46	0		1		1			50	0	0	1	0		0	1	0	0	0	0	1	0
10	1	0	2	2	1	15	1	"Vine Helm"		6	0		1		1			22	0	0	1	0		0	0	1	0	0	0	0	0
11	1	0	2	2	1	15	1	"Silk Helm"		16	0		1		1			26	0	0	1	0		0	0	1	0	0	0	0	0
12	1	0	2	2	1	15	1	"Wind Helm"		28	0		1		1			32	0	0	1	0		0	0	1	0	0	0	0	0
13	1	0	2	2	1	15	1	"Spirit Helm"		40	0		1		1			38	0	0	1	0		0	0	1	0	0	0	0	0
14	1	0	2	2	1	15	1	"Guardian Helm"		53	0		1		1			45	0	0	1	0		0	0	1	0	0	0	0	0
16	1	0	2	2	1	15	1	"Black Dragon Helm"	82	0		1		1			74	0	0	1	0		0	1	0	0	0	0	0	0
17	1	0	2	2	1	15	1	"Dark Phoenix Helm"	92	0		1		1			80	0	0	1	0		0	2	0	0	0	0	0	0
18	1	0	2	2	1	15	1	"Grand Soul Helm"	81	0		1		1			67	0	0	1	0		2	0	0	0	0	0	0	0
19	1	0	2	2	1	15	1	"Divine Helm"		85	0		1		1			74	0	0	1	0		0	0	2	0	0	0	0	0
21	1	0	2	2	1	15	1	"Great Dragon Helm"	104	0		1		1			86	0	0	1	0		0	2	0	0	0	0	0	0
22	1	0	2	2	1	15	1	"Dark Soul Helm"	110	0		1		1			75	0	0	1	0		2	0	0	0	0	0	0	0
24	1	0	2	2	1	15	1	"Red Spirit Helm"	93	0		1		1			80	0	0	1	0		0	0	2	0	0	0	0	0
25	1	0	2	2	1	15	1	"Light Plate Mask"	46	0		1		1			42	0	0	1	0		0	0	0	0	1	0	0	0
26	1	0	2	2	1	15	1	"Adamantine Mask"	66	0		1		1			56	0	0	1	0		0	0	0	0	1	0	0	0
27	1	0	2	2	1	15	1	"Dark Steel Mask"	86	0		1		1			70	0	0	1	0		0	0	0	0	1	0	0	0
28	1	0	2	2	1	15	1	"Dark Master Mask"	106	0		1		1			78	0	0	1	0		0	0	0	0	1	0	0	0
//Season 2+
29	1	0	2	2	1	15	1	"Dragon Knight Helm"	130	0		1		1			90	1	0	1	380		0	2	0	0	0	0	0	0
30	1	0	2	2	1	15	1	"Venom Mist Helm"	126	0		1		1			86	1	0	1	380		2	0	0	0	0	0	0	0
31	1	0	2	2	1	15	1	"Sylphid Ray Helm"	126	0		1		1			86	1	0	1	380		0	0	2	0	0	0	0	0
33	1	0	2	2	1	15	1	"Sunlight Mask"		130	0		1		1			82	1	0	1	380		0	0	0	0	1	0	0	0
